customer_id,name,email,country
1,Customer_1,customer_1@example.com,Japan
2,Customer_2,customer_2@example.com,Australia
3,Customer_3,customer_3@example.com,Germany
4,Customer_4,customer_4@example.com,Japan
5,Customer_5,customer_5@example.com,Canada
6,Customer_6,customer_6@example.com,
7,Customer_7,customer_7@example.com,
8,Customer_8,customer_8@example.com,
9,Customer_9,customer_9@example.com,Japan
10,Customer_10,customer_10@example.com,UK
11,Customer_11,invalid_email,Canada
12,Customer_12,customer_12@example.com,Japan
13,Customer_13,customer_13@example.com,Canada
14,Customer_14,customer_14@example.com,Canada
15,Customer_15,customer_15@example.com,Brazil
16,,customer_16@example.com,Germany
17,Customer_17,customer_17@example.com,Australia
18,Customer_18,customer_18@example.com,Brazil
19,Customer_19,customer_19@example.com,Brazil
20,Customer_20,customer_20@example.com,Canada
21,Customer_21,customer_21@example.com,France
22,Customer_22,customer_22@example.com,Germany
23,Customer_23,customer_23@example.com,UK
24,Customer_24,customer_24@example.com,Brazil
25,Customer_25,customer_25@example.com,Australia
26,Customer_26,customer_26@example.com,France
27,Customer_27,customer_27@example.com,France
28,Customer_28,customer_28@example.com,UK
29,Customer_29,customer_29@example.com,Brazil
30,Customer_30,customer_30@example.com,Australia
31,Customer_31,customer_31@example.com,Germany
32,Customer_32,customer_32@example.com,USA
33,Customer_33,customer_33@example.com,Australia
34,Customer_34,customer_34@example.com,UK
35,Customer_35,customer_35@example.com,France
36,Customer_36,customer_36@example.com,Germany
37,Customer_37,customer_37@example.com,Australia
38,Customer_38,customer_38@example.com,USA
39,Customer_39,customer_39@example.com,USA
40,Customer_40,customer_40@example.com,Canada
41,Customer_41,customer_41@example.com,Canada
42,Customer_42,customer_42@example.com,Japan
43,Customer_43,customer_43@example.com,UK
44,Customer_44,customer_44@example.com,Brazil
45,Customer_45,customer_45@example.com,Australia
46,Customer_46,customer_46@example.com,Australia
47,Customer_47,customer_47@example.com,Brazil
48,Customer_48,customer_48@example.com,Japan
49,Customer_49,customer_49@example.com,France
50,Customer_50,customer_50@example.com,France
51,Customer_51,customer_51@example.com,Japan
52,Customer_52,customer_52@example.com,France
53,Customer_53,customer_53@example.com,Canada
54,Customer_54,customer_54@example.com,Australia
55,Customer_55,customer_55@example.com,Japan
56,Customer_56,customer_56@example.com,Australia
57,Customer_57,customer_57@example.com,Brazil
58,Customer_58,customer_58@example.com,USA
59,Customer_59,customer_59@example.com,Canada
60,Customer_60,customer_60@example.com,Germany
61,Customer_61,customer_61@example.com,Canada
62,Customer_62,customer_62@example.com,Japan
63,Customer_63,customer_63@example.com,Germany
64,Customer_64,customer_64@example.com,USA
65,Customer_65,customer_65@example.com,Japan
66,Customer_66,customer_66@example.com,UK
67,Customer_67,customer_67@example.com,Australia
68,Customer_68,customer_68@example.com,USA
69,Customer_69,customer_69@example.com,Australia
70,Customer_70,customer_70@example.com,France
71,Customer_71,customer_71@example.com,UK
72,Customer_72,customer_72@example.com,UK
73,Customer_73,customer_73@example.com,USA
74,Customer_74,customer_74@example.com,UK
75,Customer_75,customer_75@example.com,Germany
76,Customer_76,customer_76@example.com,UK
77,Customer_77,customer_77@example.com,Australia
78,Customer_78,customer_78@example.com,Australia
79,Customer_79,customer_79@example.com,Japan
80,Customer_80,customer_80@example.com,Australia
81,Customer_81,customer_81@example.com,Japan
82,Customer_82,customer_82@example.com,Australia
83,Customer_83,customer_83@example.com,Germany
84,Customer_84,customer_84@example.com,Brazil
85,Customer_85,customer_85@example.com,Japan
86,Customer_86,customer_86@example.com,Canada
87,Customer_87,customer_87@example.com,France
88,Customer_88,customer_88@example.com,USA
89,Customer_89,customer_89@example.com,Australia
90,Customer_90,customer_90@example.com,UK
91,Customer_91,customer_91@example.com,Brazil
92,Customer_92,customer_92@example.com,Australia
93,Customer_93,customer_93@example.com,UK
94,Customer_94,customer_94@example.com,France
95,Customer_95,customer_95@example.com,France
96,Customer_96,customer_96@example.com,France
97,Customer_97,customer_97@example.com,UK
98,Customer_98,customer_98@example.com,Australia
99,Customer_99,customer_99@example.com,France
100,Customer_100,customer_100@example.com,Germany
